codigo_municipio,municipio,uf,proporcao_haddad,proporcao_bolsonaro,votos_haddad,votos_bolsonaro,votos_validos
1200401,RIO BRANCO,AC,0.172,0.828,32937,158264,191201
1200203,CRUZEIRO DO SUL,AC,0.201,0.799,7818,31147,38965
1200500,SENA MADUREIRA,AC,0.235,0.765,3711,12051,15762
1200450,SENADOR GUIOMARD,AC,0.193,0.807,2452,10247,12699
1200104,BRASILÉIA,AC,0.269,0.731,3208,8711,11919
1200609,TARAUACÁ,AC,0.388,0.612,5267,8292,13559
1200807,PORTO ACRE,AC,0.224,0.776,2059,7150,9209
1200385,PLÁCIDO DE CASTRO,AC,0.22,0.78,1837,6531,8368
1200302,FEIJÓ,AC,0.455,0.545,5256,6296,11552
1200252,EPITACIOLÂNDIA,AC,0.244,0.756,2026,6284,8310
1200336,MÂNCIO LIMA,AC,0.309,0.691,2334,5225,7559
1200013,ACRELÂNDIA,AC,0.201,0.799,1300,5165,6465
1200708,XAPURI,AC,0.408,0.592,3400,4929,8329
1200427,RODRIGUES ALVES,AC,0.261,0.739,1682,4762,6444
1200138,BUJARI,AC,0.214,0.786,1274,4676,5950
1200179,CAPIXABA,AC,0.218,0.782,1086,3895,4981
1200351,MARECHAL THAUMATURGO,AC,0.49,0.51,2451,2548,4999
1200054,ASSIS BRASIL,AC,0.416,0.584,1660,2333,3993
1200344,MANOEL URBANO,AC,0.416,0.584,1621,2274,3895
1200393,PORTO WALTER,AC,0.389,0.611,1208,1897,3105
1200328,JORDÃO,AC,0.507,0.493,1415,1375,2790
1200435,SANTA ROSA DO PURUS,AC,0.535,0.465,975,847,1822
2704302,MACEIÓ,AL,0.384,0.616,166838,268027,434865
2700300,ARAPIRACA,AL,0.54,0.46,56755,48375,105130
2707701,RIO LARGO,AL,0.503,0.497,19803,19583,39386
2704708,MARECHAL DEODORO,AL,0.433,0.567,10713,14007,24720
2702306,CORURIPE,AL,0.445,0.555,11098,13819,24917
2708600,SÃO MIGUEL DOS CAMPOS,AL,0.489,0.511,13156,13765,26921
2706307,PALMEIRA DOS ÍNDIOS,AL,0.676,0.324,23153,11083,34236
2709301,UNIÃO DOS PALMARES,AL,0.667,0.333,19928,9943,29871
2706703,PENEDO,AL,0.642,0.358,17029,9490,26519
2706901,PILAR,AL,0.532,0.468,9463,8313,17776
2704500,MARAGOGI,AL,0.456,0.544,6265,7462,13727
2709152,TEOTÔNIO VILELA,AL,0.644,0.356,12110,6684,18794
2700409,ATALAIA,AL,0.683,0.317,13524,6287,19811
2707305,PORTO CALVO,AL,0.501,0.499,5982,5950,11932
2705101,MATRIZ DE CAMARAGIBE,AL,0.514,0.486,6213,5879,12092
2708501,SÃO LUÍS DO QUITUNDE,AL,0.581,0.419,8142,5877,14019
2708006,SANTANA DO IPANEMA,AL,0.788,0.212,17425,4678,22103
2705507,MURICI,AL,0.635,0.365,7965,4584,12549
2701001,BOCA DA MATA,AL,0.633,0.367,7788,4521,12309
2701407,CAMPO ALEGRE,AL,0.731,0.269,11526,4239,15765
2708303,SÃO JOSÉ DA LAJE,AL,0.631,0.369,7192,4203,11395
2709400,VIÇOSA,AL,0.686,0.314,8972,4105,13077
2702405,DELMIRO GOUVEIA,AL,0.849,0.151,22523,4009,26532
2708907,SATUBA,AL,0.49,0.51,3531,3681,7212
2704005,JUNQUEIRO,AL,0.713,0.287,8973,3609,12582
2702108,COLÔNIA LEOPOLDINA,AL,0.611,0.389,5582,3559,9141
2706448,PARIPUEIRA,AL,0.471,0.529,3164,3554,6718
2708808,SÃO SEBASTIÃO,AL,0.796,0.204,13577,3483,17060
2705200,MESSIAS,AL,0.617,0.383,5415,3367,8782
2701704,CAPELA,AL,0.617,0.383,5192,3222,8414
2705705,OLHO D'ÁGUA DAS FLORES,AL,0.698,0.302,7149,3090,10239
2700508,BARRA DE SANTO ANTÔNIO,AL,0.63,0.37,4923,2893,7816
2701308,CAJUEIRO,AL,0.706,0.294,6380,2652,9032
2702801,FLEXEIRAS,AL,0.524,0.476,2780,2526,5306
2706505,PASSO DE CAMARAGIBE,AL,0.656,0.344,4712,2470,7182
2703007,IBATEGUARA,AL,0.664,0.336,4865,2464,7329
2703205,IGREJA NOVA,AL,0.795,0.205,9410,2427,11837
2700607,BARRA DE SÃO MIGUEL,AL,0.494,0.506,2346,2400,4746
2704401,MAJOR ISIDORO,AL,0.753,0.247,7264,2379,9643
2704203,LIMOEIRO DE ANADIA,AL,0.808,0.192,9971,2362,12333
2702900,GIRAU DO PONCIANO,AL,0.872,0.128,15898,2338,18236
2706802,PIAÇABUÇU,AL,0.725,0.275,6070,2306,8376
2706406,PÃO DE AÇÚCAR,AL,0.803,0.197,9356,2301,11657
2704104,LAGOA DA CANOA,AL,0.782,0.218,8222,2297,10519
2705606,NOVO LINO,AL,0.582,0.418,3108,2233,5341
2703759,JEQUIÁ DA PRAIA,AL,0.547,0.453,2639,2184,4823
2702603,FEIRA GRANDE,AL,0.829,0.171,10412,2144,12556
2703809,JOAQUIM GOMES,AL,0.765,0.235,6950,2138,9088
2702355,CRAÍBAS,AL,0.842,0.158,11200,2099,13299
2700706,BATALHA,AL,0.751,0.249,6261,2072,8333
2708709,SÃO MIGUEL DOS MILAGRES,AL,0.509,0.491,2093,2021,4114
2704807,MARIBONDO,AL,0.698,0.302,4667,2017,6684
2709103,TAQUARANA,AL,0.787,0.213,7341,1986,9327
2703601,JAPARATINGA,AL,0.513,0.487,2066,1962,4028
2703106,IGACI,AL,0.854,0.146,11111,1901,13012
2708402,SÃO JOSÉ DA TAPERA,AL,0.871,0.129,12282,1826,14108
2707503,PORTO REAL DO COLÉGIO,AL,0.836,0.164,8966,1759,10725
2700201,ANADIA,AL,0.783,0.217,6182,1711,7893
2707404,PORTO DE PEDRAS,AL,0.584,0.416,2367,1683,4050
2707909,SANTA LUZIA DO NORTE,AL,0.613,0.387,2586,1635,4221
2705002,MATA GRANDE,AL,0.861,0.139,9558,1537,11095
2709202,TRAIPU,AL,0.865,0.135,9658,1508,11166
2707602,QUEBRANGULO,AL,0.78,0.22,5053,1429,6482
2702207,COQUEIRO SECO,AL,0.614,0.386,2016,1265,3281
2707107,PIRANHAS,AL,0.9,0.1,11252,1250,12502
2701100,BRANQUINHA,AL,0.764,0.236,3756,1160,4916
2701209,CACIMBINHAS,AL,0.787,0.213,4166,1125,5291
2708105,SANTANA DO MUNDAÚ,AL,0.811,0.189,4729,1105,5834
2707800,ROTEIRO,AL,0.665,0.335,2183,1102,3285
2706604,PAULO JACINTO,AL,0.725,0.275,2868,1086,3954
2702504,DOIS RIACHOS,AL,0.806,0.194,4444,1072,5516
2706000,OLIVENÇA,AL,0.837,0.163,5134,1002,6136
2702009,COITÉ DO NÓIA,AL,0.839,0.161,5010,964,5974
2703304,INHAPI,AL,0.886,0.114,7102,918,8020
2701605,CANAPI,AL,0.894,0.106,7618,905,8523
2708204,SÃO BRÁS,AL,0.779,0.221,3103,879,3982
2703908,JUNDIÁ,AL,0.644,0.356,1547,855,2402
2702553,ESTRELA DE ALAGOAS,AL,0.889,0.111,6783,851,7634
2701506,CAMPO GRANDE,AL,0.856,0.144,5022,843,5865
2706109,OURO BRANCO,AL,0.862,0.138,5156,828,5984
2700102,ÁGUA BRANCA,AL,0.921,0.079,9520,812,10332
2704609,MARAVILHA,AL,0.843,0.157,4341,810,5151
2701902,CHÃ PRETA,AL,0.792,0.208,2994,788,3782
2708956,SENADOR RUI PALMEIRA,AL,0.872,0.128,5287,776,6063
2701357,CAMPESTRE,AL,0.777,0.223,2594,745,3339
2703502,JACUÍPE,AL,0.793,0.207,2736,715,3451
2702702,FELIZ DESERTO,AL,0.673,0.327,1417,689,2106
2700805,BELÉM,AL,0.786,0.214,2511,684,3195
2707206,POÇO DAS TRINCHEIRAS,AL,0.909,0.091,6226,625,6851
2705309,MINADOR DO NEGRÃO,AL,0.815,0.185,2607,591,3198
2705408,MONTEIRÓPOLIS,AL,0.85,0.15,3247,574,3821
2704906,MAR VERMELHO,AL,0.761,0.239,1788,563,2351
2701803,CARNEIROS,AL,0.876,0.124,3873,547,4420
2709004,TANQUE D'ARCA,AL,0.856,0.144,2987,504,3491
2700904,BELO MONTE,AL,0.858,0.142,2928,486,3414
2707008,PINDOBA,AL,0.718,0.282,1210,475,1685
2703700,JARAMATAIA,AL,0.859,0.141,2806,462,3268
2703403,JACARÉ DOS HOMENS,AL,0.873,0.127,2981,434,3415
2706208,PALESTINA,AL,0.843,0.157,2291,428,2719
2705903,OLHO D'ÁGUA GRANDE,AL,0.878,0.122,2687,374,3061
2706422,PARICONHA,AL,0.939,0.061,5777,374,6151
2705804,OLHO D'ÁGUA DO CASADO,AL,0.934,0.066,4494,319,4813
1600303,MACAPÁ,AP,0.449,0.551,98083,120603,218686
1600600,SANTANA,AP,0.468,0.532,27662,31383,59045
1600279,LARANJAL DO JARI,AP,0.589,0.411,11044,7703,18747
1600535,PORTO GRANDE,AP,0.588,0.412,5250,3681,8931
1600501,OIAPOQUE,AP,0.671,0.329,7335,3589,10924
1600402,MAZAGÃO,AP,0.694,0.306,7628,3361,10989
1600154,PEDRA BRANCA DO AMAPARI,AP,0.598,0.402,3317,2234,5551
1600709,TARTARUGALZINHO,AP,0.637,0.363,3670,2092,5762
1600808,VITÓRIA DO JARI,AP,0.728,0.272,4565,1704,6269
1600204,CALÇOENE,AP,0.653,0.347,3140,1671,4811
1600238,FERREIRA GOMES,AP,0.564,0.436,2143,1659,3802
1600105,AMAPÁ,AP,0.647,0.353,2610,1423,4033
1600253,ITAUBAL,AP,0.669,0.331,2530,1250,3780
1600055,SERRA DO NAVIO,AP,0.509,0.491,1240,1196,2436
1600212,CUTIAS,AP,0.71,0.29,1961,800,2761
1600550,PRACUÚBA,AP,0.658,0.342,1438,747,2185
1302603,MANAUS,AM,0.343,0.657,358364,686999,1045363
1302504,MANACAPURU,AM,0.605,0.395,27255,17778,45033
1301902,ITACOATIARA,AM,0.655,0.345,29226,15412,44638
1301209,COARI,AM,0.688,0.312,21399,9690,31089
1301852,IRANDUBA,AM,0.623,0.377,14447,8757,23204
1303403,PARINTINS,AM,0.825,0.175,38970,8266,47236
1304203,TEFÉ,AM,0.698,0.302,18878,8159,27037
1301704,HUMAITÁ,AM,0.577,0.423,10398,7609,18007
1304062,TABATINGA,AM,0.691,0.309,15809,7061,22870
1303536,PRESIDENTE FIGUEIREDO,AM,0.578,0.422,8669,6337,15006
1300706,BOCA DO ACRE,AM,0.525,0.475,6782,6129,12911
1302702,MANICORÉ,AM,0.714,0.286,12543,5016,17559
1303569,RIO PRETO DA EVA,AM,0.53,0.47,5368,4751,10119
1300300,AUTAZES,AM,0.733,0.267,12407,4509,16916
1301100,CAREIRO,AM,0.695,0.305,9464,4160,13624
1303809,SÃO GABRIEL DA CACHOEIRA,AM,0.776,0.224,13369,3864,17233
1302405,LÁBREA,AM,0.757,0.243,11291,3633,14924
1300144,APUÍ,AM,0.486,0.514,3046,3218,6264
1301407,EIRUNEPÉ,AM,0.738,0.262,8836,3137,11973
1302900,MAUÉS,AM,0.843,0.157,16543,3080,19623
1301308,CODAJÁS,AM,0.642,0.358,5455,3044,8499
1303205,NOVO AIRÃO,AM,0.586,0.414,4289,3033,7322
1301654,GUAJARÁ,AM,0.495,0.505,2782,2836,5618
1301159,CAREIRO DA VÁRZEA,AM,0.721,0.279,7239,2795,10034
1304104,TAPAUÁ,AM,0.683,0.317,5288,2457,7745
1301001,CARAUARI,AM,0.802,0.198,9617,2370,11987
1300102,ANORI,AM,0.62,0.38,3681,2253,5934
1300805,BORBA,AM,0.827,0.173,10727,2238,12965
1300607,BENJAMIN CONSTANT,AM,0.858,0.142,12275,2026,14301
1303106,NOVA OLINDA DO NORTE,AM,0.805,0.195,8303,2016,10319
1300409,BARCELOS,AM,0.654,0.346,3608,1913,5521
1300631,BERURI,AM,0.756,0.244,5670,1831,7501
1302009,ITAPIRANGA,AM,0.608,0.392,2843,1831,4674
1303957,SÃO SEBASTIÃO DO UATUMÃ,AM,0.574,0.426,2430,1803,4233
1300086,ANAMÃ,AM,0.697,0.303,4077,1771,5848
1302553,MANAQUIRI,AM,0.777,0.223,6076,1744,7820
1300904,CANUTAMA,AM,0.665,0.335,3359,1691,5050
1303700,SANTO ANTÔNIO DO IÇÁ,AM,0.828,0.172,7998,1662,9660
1301605,FONTE BOA,AM,0.827,0.173,7837,1645,9482
1303502,PAUINI,AM,0.736,0.264,4437,1593,6030
1304302,URUCARÁ,AM,0.789,0.211,5785,1547,7332
1303908,SÃO PAULO DE OLIVENÇA,AM,0.877,0.123,10907,1535,12442
1304401,URUCURITUBA,AM,0.81,0.19,6256,1466,7722
1303601,SANTA ISABEL DO RIO NEGRO,AM,0.648,0.352,2637,1430,4067
1301506,ENVIRA,AM,0.776,0.224,4870,1405,6275
1300839,CAAPIRANGA,AM,0.713,0.287,3449,1387,4836
1303304,NOVO ARIPUANÃ,AM,0.811,0.189,5923,1383,7306
1300029,ALVARÃES,AM,0.793,0.207,5295,1380,6675
1302306,JUTAÍ,AM,0.815,0.185,6049,1373,7422
1301803,IPIXUNA,AM,0.794,0.206,5055,1312,6367
1303007,NHAMUNDÁ,AM,0.853,0.147,7447,1280,8727
1302207,JURUÁ,AM,0.705,0.295,2829,1185,4014
1304260,UARINI,AM,0.772,0.228,3692,1089,4781
1300508,BARREIRINHA,AM,0.918,0.082,11611,1036,12647
1304237,TONANTINS,AM,0.842,0.158,5410,1013,6423
1300201,ATALAIA DO NORTE,AM,0.825,0.175,4020,851,4871
1300060,AMATURÁ,AM,0.801,0.199,3400,846,4246
1302801,MARAÃ,AM,0.831,0.169,4114,835,4949
1300680,BOA VISTA DO RAMOS,AM,0.892,0.108,6666,808,7474
1304005,SILVES,AM,0.835,0.165,3966,784,4750
1301951,ITAMARATI,AM,0.835,0.165,3497,691,4188
1302108,JAPURÁ,AM,0.747,0.253,1912,648,2560
2927408,SALVADOR,BA,0.686,0.314,985532,451273,1436805
2910800,FEIRA DE SANTANA,BA,0.629,0.371,194826,115156,309982
2933307,VITÓRIA DA CONQUISTA,BA,0.581,0.419,100751,72763,173514
2914802,ITABUNA,BA,0.513,0.487,53396,50668,104064
2905701,CAMAÇARI,BA,0.649,0.351,84052,45483,129535
2913606,ILHÉUS,BA,0.607,0.393,54505,35315,89820
2931350,TEIXEIRA DE FREITAS,BA,0.49,0.51,33442,34772,68214
2918407,JUAZEIRO,BA,0.697,0.303,79982,34740,114722
2919207,LAURO DE FREITAS,BA,0.657,0.343,62336,32596,94932
2903201,BARREIRAS,BA,0.595,0.405,43898,29915,73813
2910727,EUNÁPOLIS,BA,0.506,0.494,29184,28502,57686
2925303,PORTO SEGURO,BA,0.574,0.426,38222,28354,66576
2918001,JEQUIÉ,BA,0.667,0.333,54000,27012,81012
2900702,ALAGOINHAS,BA,0.675,0.325,51668,24844,76512
2919553,LUÍS EDUARDO MAGALHÃES,BA,0.412,0.588,15773,22509,38282
2928703,SANTO ANTÔNIO DE JESUS,BA,0.665,0.335,34032,17154,51186
2916401,ITAPETINGA,BA,0.463,0.537,14784,17138,31922
2911709,GUANAMBI,BA,0.677,0.323,32336,15405,47741
2930709,SIMÕES FILHO,BA,0.735,0.265,42380,15305,57685
2932903,VALENÇA,BA,0.693,0.307,31374,13897,45271
2915601,ITAMARAJU,BA,0.552,0.448,16393,13312,29705
2908408,CONCEIÇÃO DO COITÉ,BA,0.649,0.351,24197,13094,37291
2904605,BRUMADO,BA,0.678,0.322,25911,12294,38205
2924009,PAULO AFONSO,BA,0.792,0.208,45685,12010,57695
2930105,SENHOR DO BONFIM,BA,0.673,0.327,24241,11791,36032
2909802,CRUZ DAS ALMAS,BA,0.702,0.298,25147,10681,35828
2917508,JACOBINA,BA,0.763,0.237,31586,9815,41401
2930501,SERRINHA,BA,0.781,0.219,34236,9579,43815
2914604,IRECÊ,BA,0.739,0.261,25824,9137,34961
2906006,CAMPO FORMOSO,BA,0.764,0.236,28718,8852,37570
2910057,DIAS D'ÁVILA,BA,0.75,0.25,26227,8750,34977
2923001,NOVA VIÇOSA,BA,0.544,0.456,10087,8462,18549
2914703,ITABERABA,BA,0.749,0.251,22358,7473,29831
2906501,CANDEIAS,BA,0.847,0.153,39448,7101,46549
2926608,RIBEIRA DO POMBAL,BA,0.762,0.238,22235,6955,29190
2917607,JAGUAQUARA,BA,0.699,0.301,15962,6871,22833
2922003,MUCURI,BA,0.591,0.409,9901,6847,16748
2913903,IPIAÚ,BA,0.686,0.314,14489,6627,21116
2907202,CASA NOVA,BA,0.835,0.165,32131,6359,38490
2901007,AMARGOSA,BA,0.668,0.332,12470,6203,18673
2903904,BOM JESUS DA LAPA,BA,0.801,0.199,24779,6165,30944
2921005,MATA DE SÃO JOÃO,BA,0.781,0.219,21916,6152,28068
2905206,CAETITÉ,BA,0.793,0.207,23063,6006,29069
